case_id,person_id,involvement_type
CASE_0001,PER_0623,Witness
CASE_0001,PER_0061,Accused
CASE_0002,PER_0029,Witness
CASE_0002,PER_0575,Prime Suspect
CASE_0002,PER_0671,Accused
CASE_0003,PER_0535,Co-conspirator
CASE_0003,PER_0599,Co-conspirator
CASE_0004,PER_0252,Co-conspirator
CASE_0004,PER_0611,Witness
CASE_0004,PER_0659,Prime Suspect
CASE_0005,PER_0241,Co-conspirator
CASE_0005,PER_0215,Witness
CASE_0005,PER_0078,Co-conspirator
CASE_0006,PER_0472,Witness
CASE_0006,PER_0370,Prime Suspect
CASE_0007,PER_0172,Prime Suspect
CASE_0007,PER_0202,Witness
CASE_0007,PER_0015,Prime Suspect
CASE_0008,PER_0290,Accused
CASE_0008,PER_0962,Co-conspirator
CASE_0008,PER_0069,Prime Suspect
CASE_0008,PER_0477,Accused
CASE_0008,PER_0345,Prime Suspect
CASE_0008,PER_0013,Prime Suspect
CASE_0009,PER_0526,Co-conspirator
CASE_0009,PER_0641,Witness
CASE_0009,PER_0560,Co-conspirator
CASE_0009,PER_0434,Co-conspirator
CASE_0009,PER_0506,Co-conspirator
CASE_0010,PER_0602,Prime Suspect
CASE_0010,PER_0347,Co-conspirator
CASE_0011,PER_0045,Witness
CASE_0011,PER_0304,Accused
CASE_0011,PER_0634,Accused
CASE_0011,PER_0849,Witness
CASE_0012,PER_0637,Witness
CASE_0012,PER_0299,Accused
CASE_0012,PER_0694,Witness
CASE_0012,PER_0403,Co-conspirator
CASE_0012,PER_0132,Prime Suspect
CASE_0013,PER_0934,Prime Suspect
CASE_0013,PER_0128,Co-conspirator
CASE_0013,PER_0295,Accused
CASE_0013,PER_0786,Co-conspirator
CASE_0013,PER_0707,Co-conspirator
CASE_0013,PER_0138,Prime Suspect
CASE_0014,PER_0929,Witness
CASE_0014,PER_0411,Witness
CASE_0014,PER_0150,Co-conspirator
CASE_0014,PER_0109,Accused
CASE_0015,PER_0620,Co-conspirator
CASE_0015,PER_0891,Prime Suspect
CASE_0015,PER_0207,Witness
CASE_0015,PER_0879,Witness
CASE_0016,PER_0263,Witness
CASE_0016,PER_0992,Co-conspirator
CASE_0016,PER_0035,Co-conspirator
CASE_0016,PER_0453,Witness
CASE_0016,PER_0570,Co-conspirator
CASE_0017,PER_0078,Witness
CASE_0017,PER_0981,Witness
CASE_0017,PER_0770,Accused
CASE_0017,PER_0089,Witness
CASE_0017,PER_0056,Co-conspirator
CASE_0017,PER_0405,Prime Suspect
CASE_0018,PER_0459,Co-conspirator
CASE_0018,PER_0640,Accused
CASE_0018,PER_0242,Witness
CASE_0018,PER_0669,Witness
CASE_0018,PER_0593,Prime Suspect
CASE_0018,PER_0461,Prime Suspect
CASE_0019,PER_0286,Prime Suspect
CASE_0019,PER_0589,Witness
CASE_0019,PER_0218,Co-conspirator
CASE_0020,PER_0693,Accused
CASE_0020,PER_0687,Co-conspirator
CASE_0020,PER_0612,Accused
CASE_0020,PER_0535,Witness
CASE_0021,PER_0015,Witness
CASE_0021,PER_0277,Accused
CASE_0021,PER_0451,Witness
CASE_0021,PER_0003,Co-conspirator
CASE_0021,PER_0300,Prime Suspect
CASE_0021,PER_0041,Witness
CASE_0022,PER_0404,Witness
CASE_0022,PER_0806,Accused
CASE_0022,PER_0594,Prime Suspect
CASE_0022,PER_0183,Accused
CASE_0023,PER_0481,Co-conspirator
CASE_0023,PER_0976,Witness
CASE_0023,PER_0214,Prime Suspect
CASE_0024,PER_0373,Witness
CASE_0024,PER_0399,Accused
CASE_0024,PER_0913,Prime Suspect
CASE_0025,PER_0874,Prime Suspect
CASE_0025,PER_0256,Co-conspirator
CASE_0025,PER_0005,Witness
CASE_0026,PER_0884,Co-conspirator
CASE_0026,PER_0590,Accused
CASE_0026,PER_0358,Accused
CASE_0026,PER_0807,Co-conspirator
CASE_0026,PER_0602,Accused
CASE_0026,PER_0118,Co-conspirator
CASE_0027,PER_0390,Prime Suspect
CASE_0027,PER_0021,Co-conspirator
CASE_0027,PER_0008,Witness
CASE_0027,PER_0595,Accused
CASE_0027,PER_0553,Witness
CASE_0028,PER_0048,Co-conspirator
CASE_0028,PER_0715,Prime Suspect
CASE_0028,PER_0977,Accused
CASE_0028,PER_0211,Witness
CASE_0028,PER_0032,Co-conspirator
CASE_0028,PER_0208,Accused
CASE_0029,PER_0603,Witness
CASE_0029,PER_0528,Co-conspirator
CASE_0029,PER_0331,Witness
CASE_0030,PER_0836,Prime Suspect
CASE_0030,PER_0989,Witness
CASE_0030,PER_0029,Prime Suspect
CASE_0030,PER_0755,Prime Suspect
CASE_0030,PER_0511,Witness
CASE_0031,PER_0962,Co-conspirator
CASE_0031,PER_0387,Accused
CASE_0031,PER_0102,Accused
CASE_0031,PER_0852,Witness
CASE_0032,PER_0053,Co-conspirator
CASE_0032,PER_0803,Prime Suspect
CASE_0033,PER_0317,Witness
CASE_0033,PER_0914,Witness
CASE_0033,PER_0973,Prime Suspect
CASE_0033,PER_0291,Witness
CASE_0033,PER_0202,Accused
CASE_0034,PER_0933,Prime Suspect
CASE_0034,PER_0720,Co-conspirator
CASE_0034,PER_0470,Witness
CASE_0034,PER_0448,Witness
CASE_0034,PER_0191,Co-conspirator
