event_id,event_title,timestamp,location_id,case_id
EVT_0001,Raid/Meeting Event #001,2025-07-07T07:12:54Z,LOC_0005,CASE_0164
EVT_0002,Raid/Meeting Event #002,2023-06-11T09:49:01Z,LOC_0114,CASE_0068
EVT_0003,Raid/Meeting Event #003,2025-08-09T11:01:39Z,LOC_0086,CASE_0052
EVT_0004,Raid/Meeting Event #004,2025-03-04T23:38:59Z,LOC_0028,CASE_0233
EVT_0005,Raid/Meeting Event #005,2026-07-02T05:11:39Z,LOC_0098,CASE_0229
EVT_0006,Raid/Meeting Event #006,2026-06-28T19:57:54Z,LOC_0035,CASE_0231
EVT_0007,Raid/Meeting Event #007,2024-04-30T02:01:47Z,LOC_0072,CASE_0019
EVT_0008,Raid/Meeting Event #008,2023-02-07T03:15:54Z,LOC_0107,CASE_0100
EVT_0009,Raid/Meeting Event #009,2025-08-31T05:06:33Z,LOC_0126,CASE_0140
EVT_0010,Raid/Meeting Event #010,2025-04-25T14:44:43Z,LOC_0074,CASE_0082
EVT_0011,Raid/Meeting Event #011,2025-01-01T02:40:04Z,LOC_0057,CASE_0218
EVT_0012,Raid/Meeting Event #012,2026-07-09T19:18:07Z,LOC_0038,CASE_0233
EVT_0013,Raid/Meeting Event #013,2023-04-29T07:11:23Z,LOC_0111,CASE_0090
EVT_0014,Raid/Meeting Event #014,2023-03-28T23:01:23Z,LOC_0046,CASE_0234
EVT_0015,Raid/Meeting Event #015,2025-11-27T11:04:30Z,LOC_0071,CASE_0040
EVT_0016,Raid/Meeting Event #016,2023-11-25T11:46:33Z,LOC_0135,CASE_0147
EVT_0017,Raid/Meeting Event #017,2023-10-30T23:41:54Z,LOC_0089,CASE_0069
EVT_0018,Raid/Meeting Event #018,2026-02-27T11:44:25Z,LOC_0066,CASE_0217
EVT_0019,Raid/Meeting Event #019,2026-07-21T20:09:10Z,LOC_0004,CASE_0118
EVT_0020,Raid/Meeting Event #020,2023-04-29T11:20:56Z,LOC_0018,CASE_0165
EVT_0021,Raid/Meeting Event #021,2023-01-24T18:51:38Z,LOC_0119,CASE_0194
EVT_0022,Raid/Meeting Event #022,2023-09-24T11:20:26Z,LOC_0133,CASE_0096
EVT_0023,Raid/Meeting Event #023,2023-02-07T05:58:22Z,LOC_0044,CASE_0063
EVT_0024,Raid/Meeting Event #024,2025-10-24T04:11:21Z,LOC_0007,CASE_0089
EVT_0025,Raid/Meeting Event #025,2025-09-19T04:14:14Z,LOC_0008,CASE_0216
EVT_0026,Raid/Meeting Event #026,2024-10-23T05:18:14Z,LOC_0112,CASE_0114
EVT_0027,Raid/Meeting Event #027,2023-05-27T11:14:02Z,LOC_0065,CASE_0139
EVT_0028,Raid/Meeting Event #028,2024-06-11T21:20:14Z,LOC_0060,CASE_0239
EVT_0029,Raid/Meeting Event #029,2023-12-12T10:45:10Z,LOC_0051,CASE_0199
EVT_0030,Raid/Meeting Event #030,2023-07-09T14:40:56Z,LOC_0128,CASE_0196
EVT_0031,Raid/Meeting Event #031,2023-05-06T04:12:01Z,LOC_0066,CASE_0117
EVT_0032,Raid/Meeting Event #032,2025-06-12T02:14:08Z,LOC_0082,CASE_0092
EVT_0033,Raid/Meeting Event #033,2024-02-01T20:31:32Z,LOC_0017,CASE_0044
EVT_0034,Raid/Meeting Event #034,2025-05-24T10:41:07Z,LOC_0142,CASE_0178
EVT_0035,Raid/Meeting Event #035,2023-09-15T14:45:16Z,LOC_0075,CASE_0193
EVT_0036,Raid/Meeting Event #036,2026-03-24T04:34:30Z,LOC_0149,CASE_0046
EVT_0037,Raid/Meeting Event #037,2023-09-01T06:59:55Z,LOC_0002,CASE_0211
EVT_0038,Raid/Meeting Event #038,2026-05-01T08:27:35Z,LOC_0047,CASE_0130
EVT_0039,Raid/Meeting Event #039,2025-11-09T02:21:03Z,LOC_0141,CASE_0019
EVT_0040,Raid/Meeting Event #040,2024-07-07T20:41:48Z,LOC_0047,CASE_0013
EVT_0041,Raid/Meeting Event #041,2025-03-01T17:18:28Z,LOC_0091,CASE_0036
EVT_0042,Raid/Meeting Event #042,2023-06-21T21:48:10Z,LOC_0113,CASE_0224
EVT_0043,Raid/Meeting Event #043,2024-09-01T16:33:59Z,LOC_0141,CASE_0001
EVT_0044,Raid/Meeting Event #044,2023-07-06T17:18:49Z,LOC_0041,CASE_0107
EVT_0045,Raid/Meeting Event #045,2025-08-01T08:56:23Z,LOC_0111,CASE_0043
EVT_0046,Raid/Meeting Event #046,2024-06-03T02:33:07Z,LOC_0012,CASE_0218
EVT_0047,Raid/Meeting Event #047,2024-05-23T22:10:38Z,LOC_0015,CASE_0123
EVT_0048,Raid/Meeting Event #048,2026-02-18T09:02:27Z,LOC_0059,CASE_0183
EVT_0049,Raid/Meeting Event #049,2023-07-31T01:38:20Z,LOC_0072,CASE_0192
EVT_0050,Raid/Meeting Event #050,2025-07-21T06:57:05Z,LOC_0017,CASE_0060
EVT_0051,Raid/Meeting Event #051,2025-07-22T06:52:19Z,LOC_0076,CASE_0062
EVT_0052,Raid/Meeting Event #052,2023-03-26T03:51:47Z,LOC_0064,CASE_0210
EVT_0053,Raid/Meeting Event #053,2025-12-04T18:28:07Z,LOC_0044,CASE_0094
EVT_0054,Raid/Meeting Event #054,2023-03-13T04:34:21Z,LOC_0044,CASE_0125
EVT_0055,Raid/Meeting Event #055,2024-01-25T07:08:13Z,LOC_0102,CASE_0209
EVT_0056,Raid/Meeting Event #056,2023-08-25T01:27:59Z,LOC_0062,CASE_0144
EVT_0057,Raid/Meeting Event #057,2023-12-24T20:12:44Z,LOC_0130,CASE_0246
EVT_0058,Raid/Meeting Event #058,2024-03-13T15:04:39Z,LOC_0076,CASE_0013
EVT_0059,Raid/Meeting Event #059,2026-03-24T13:44:18Z,LOC_0060,CASE_0124
EVT_0060,Raid/Meeting Event #060,2025-09-24T20:51:39Z,LOC_0101,CASE_0091
EVT_0061,Raid/Meeting Event #061,2024-02-04T01:34:44Z,LOC_0054,CASE_0153
EVT_0062,Raid/Meeting Event #062,2025-06-26T06:17:27Z,LOC_0069,CASE_0040
EVT_0063,Raid/Meeting Event #063,2026-02-10T02:24:57Z,LOC_0144,CASE_0194
EVT_0064,Raid/Meeting Event #064,2024-07-07T14:09:12Z,LOC_0135,CASE_0005
EVT_0065,Raid/Meeting Event #065,2023-10-24T19:52:43Z,LOC_0058,CASE_0007
EVT_0066,Raid/Meeting Event #066,2025-03-23T01:02:33Z,LOC_0106,CASE_0164
EVT_0067,Raid/Meeting Event #067,2024-01-31T14:25:08Z,LOC_0025,CASE_0074
EVT_0068,Raid/Meeting Event #068,2025-05-14T16:29:18Z,LOC_0106,CASE_0168
EVT_0069,Raid/Meeting Event #069,2024-01-17T19:47:22Z,LOC_0033,CASE_0152
EVT_0070,Raid/Meeting Event #070,2025-10-04T22:51:48Z,LOC_0012,CASE_0132
EVT_0071,Raid/Meeting Event #071,2024-05-11T01:14:16Z,LOC_0006,CASE_0086
EVT_0072,Raid/Meeting Event #072,2023-03-30T21:32:40Z,LOC_0070,CASE_0240
EVT_0073,Raid/Meeting Event #073,2025-11-08T11:19:29Z,LOC_0131,CASE_0219
EVT_0074,Raid/Meeting Event #074,2025-02-08T20:28:06Z,LOC_0028,CASE_0086
EVT_0075,Raid/Meeting Event #075,2025-06-27T01:39:15Z,LOC_0008,CASE_0215
