evidence_id,case_id,evidence_type,description
EVD_0001,CASE_0014,Digital Phone Dump,Physical item recovered during raid
EVD_0002,CASE_0174,Seized Narcotics,Physical item recovered during raid
EVD_0003,CASE_0162,CCTV Footage,Physical item recovered during raid
EVD_0004,CASE_0236,Digital Phone Dump,Physical item recovered during raid
EVD_0005,CASE_0023,Digital Phone Dump,Physical item recovered during raid
EVD_0006,CASE_0121,CCTV Footage,Physical item recovered during raid
EVD_0007,CASE_0139,Seized Narcotics,Physical item recovered during raid
EVD_0008,CASE_0188,Digital Phone Dump,Physical item recovered during raid
EVD_0009,CASE_0176,Seized Narcotics,Physical item recovered during raid
EVD_0010,CASE_0009,CCTV Footage,Physical item recovered during raid
EVD_0011,CASE_0062,Forged Documents,Physical item recovered during raid
EVD_0012,CASE_0125,Forged Documents,Physical item recovered during raid
EVD_0013,CASE_0128,Forged Documents,Physical item recovered during raid
EVD_0014,CASE_0201,Forged Documents,Physical item recovered during raid
EVD_0015,CASE_0117,Digital Phone Dump,Physical item recovered during raid
EVD_0016,CASE_0219,Forged Documents,Physical item recovered during raid
EVD_0017,CASE_0088,Forged Documents,Physical item recovered during raid
EVD_0018,CASE_0097,Financial Ledger,Physical item recovered during raid
EVD_0019,CASE_0092,Financial Ledger,Physical item recovered during raid
EVD_0020,CASE_0077,Financial Ledger,Physical item recovered during raid
EVD_0021,CASE_0159,Seized Narcotics,Physical item recovered during raid
EVD_0022,CASE_0054,Financial Ledger,Physical item recovered during raid
EVD_0023,CASE_0231,CCTV Footage,Physical item recovered during raid
EVD_0024,CASE_0029,CCTV Footage,Physical item recovered during raid
EVD_0025,CASE_0085,Financial Ledger,Physical item recovered during raid
EVD_0026,CASE_0052,Financial Ledger,Physical item recovered during raid
EVD_0027,CASE_0198,Seized Narcotics,Physical item recovered during raid
EVD_0028,CASE_0028,Seized Narcotics,Physical item recovered during raid
EVD_0029,CASE_0036,Forged Documents,Physical item recovered during raid
EVD_0030,CASE_0160,Digital Phone Dump,Physical item recovered during raid
EVD_0031,CASE_0147,Financial Ledger,Physical item recovered during raid
EVD_0032,CASE_0096,Digital Phone Dump,Physical item recovered during raid
EVD_0033,CASE_0061,Seized Narcotics,Physical item recovered during raid
EVD_0034,CASE_0138,CCTV Footage,Physical item recovered during raid
EVD_0035,CASE_0188,Digital Phone Dump,Physical item recovered during raid
EVD_0036,CASE_0050,Digital Phone Dump,Physical item recovered during raid
EVD_0037,CASE_0049,Seized Narcotics,Physical item recovered during raid
EVD_0038,CASE_0053,Financial Ledger,Physical item recovered during raid
EVD_0039,CASE_0174,Seized Narcotics,Physical item recovered during raid
EVD_0040,CASE_0080,CCTV Footage,Physical item recovered during raid
EVD_0041,CASE_0081,Financial Ledger,Physical item recovered during raid
EVD_0042,CASE_0192,Seized Narcotics,Physical item recovered during raid
EVD_0043,CASE_0119,Seized Narcotics,Physical item recovered during raid
EVD_0044,CASE_0037,Forged Documents,Physical item recovered during raid
EVD_0045,CASE_0065,Seized Narcotics,Physical item recovered during raid
EVD_0046,CASE_0111,Digital Phone Dump,Physical item recovered during raid
EVD_0047,CASE_0205,Forged Documents,Physical item recovered during raid
EVD_0048,CASE_0004,Forged Documents,Physical item recovered during raid
EVD_0049,CASE_0113,Financial Ledger,Physical item recovered during raid
EVD_0050,CASE_0184,Seized Narcotics,Physical item recovered during raid
EVD_0051,CASE_0082,Seized Narcotics,Physical item recovered during raid
EVD_0052,CASE_0192,Financial Ledger,Physical item recovered during raid
EVD_0053,CASE_0079,CCTV Footage,Physical item recovered during raid
EVD_0054,CASE_0123,Forged Documents,Physical item recovered during raid
EVD_0055,CASE_0041,Seized Narcotics,Physical item recovered during raid
EVD_0056,CASE_0239,Forged Documents,Physical item recovered during raid
EVD_0057,CASE_0246,Financial Ledger,Physical item recovered during raid
