location_id,latitude,longitude,type
LOC_0001,19.940356,71.195192,Safehouse
LOC_0002,9.296663,75.283861,Warehouse
LOC_0003,18.432119,74.685893,Residential Hub
LOC_0004,9.03962,82.808338,Commercial Office
LOC_0005,12.221303,83.70984,Residential Hub
LOC_0006,20.357689,69.41719,Warehouse
LOC_0007,25.313674,79.854133,Harbor Point
LOC_0008,18.057591,82.941735,Harbor Point
LOC_0009,13.521518,70.202657,Warehouse
LOC_0010,10.353539,82.754957,Warehouse
LOC_0011,17.012777,72.413255,Residential Hub
LOC_0012,22.042214,69.086787,Residential Hub
LOC_0013,11.478591,86.557742,Residential Hub
LOC_0014,12.273458,75.469702,Residential Hub
LOC_0015,25.275709,80.640422,Harbor Point
LOC_0016,12.853061,70.544235,Transit Point
LOC_0017,21.64798,73.612083,Safehouse
LOC_0018,28.439633,77.171578,Warehouse
LOC_0019,26.24815,72.397071,Harbor Point
LOC_0020,22.487264,83.790939,Transit Point
LOC_0021,30.866243,86.111562,Commercial Office
LOC_0022,31.28326,85.10008,Safehouse
LOC_0023,17.880707,78.435376,Warehouse
LOC_0024,22.197941,84.739781,Harbor Point
LOC_0025,8.348093,76.562207,Warehouse
LOC_0026,13.947955,76.684974,Warehouse
LOC_0027,29.403743,79.835433,Warehouse
LOC_0028,29.930113,85.965036,Residential Hub
LOC_0029,31.524417,68.801174,Residential Hub
LOC_0030,25.603431,78.084327,Residential Hub
LOC_0031,20.746921,77.585387,Transit Point
LOC_0032,27.710992,77.048827,Warehouse
LOC_0033,9.994197,83.061574,Transit Point
LOC_0034,25.562871,86.998678,Warehouse
LOC_0035,16.601736,72.781248,Safehouse
LOC_0036,8.382324,81.380712,Warehouse
LOC_0037,24.879308,85.158442,Transit Point
LOC_0038,22.007843,87.528416,Residential Hub
LOC_0039,26.52404,85.483981,Residential Hub
LOC_0040,12.438698,85.431036,Transit Point
LOC_0041,19.143099,80.668046,Transit Point
LOC_0042,9.696766,85.868689,Harbor Point
LOC_0043,20.742088,73.9318,Harbor Point
LOC_0044,24.75332,80.250025,Commercial Office
LOC_0045,27.06749,83.753837,Safehouse
LOC_0046,22.890925,74.713894,Safehouse
LOC_0047,20.353676,86.200082,Harbor Point
LOC_0048,29.31147,70.219331,Harbor Point
LOC_0049,19.168469,68.817487,Harbor Point
LOC_0050,12.206418,79.175809,Safehouse
LOC_0051,21.458197,83.47151,Warehouse
LOC_0052,31.550039,72.772654,Safehouse
LOC_0053,23.576922,82.747601,Commercial Office
LOC_0054,28.907153,82.056872,Transit Point
LOC_0055,26.261262,74.409276,Harbor Point
LOC_0056,20.085583,76.458583,Safehouse
LOC_0057,9.52086,74.904532,Residential Hub
LOC_0058,20.034802,84.591197,Residential Hub
LOC_0059,25.035807,81.566166,Commercial Office
LOC_0060,29.586829,77.039568,Harbor Point
LOC_0061,27.197693,86.907306,Safehouse
LOC_0062,12.520486,85.67958,Safehouse
LOC_0063,9.92409,85.958917,Harbor Point
LOC_0064,30.998156,69.538946,Warehouse
LOC_0065,14.622626,81.941642,Residential Hub
LOC_0066,11.611954,72.085123,Transit Point
LOC_0067,8.544566,76.330733,Transit Point
LOC_0068,20.994439,70.640547,Harbor Point
LOC_0069,18.083119,82.754185,Safehouse
LOC_0070,14.996403,69.25899,Warehouse
LOC_0071,28.03874,78.39241,Harbor Point
LOC_0072,17.880602,74.85585,Transit Point
LOC_0073,26.883785,77.722968,Transit Point
LOC_0074,24.724726,84.838157,Residential Hub
LOC_0075,18.99217,79.345033,Harbor Point
LOC_0076,12.121691,73.200149,Residential Hub
LOC_0077,16.925656,73.762926,Safehouse
LOC_0078,11.56012,73.687641,Warehouse
LOC_0079,22.847126,71.215798,Commercial Office
LOC_0080,14.845918,87.464122,Transit Point
LOC_0081,24.628622,81.327119,Warehouse
LOC_0082,11.870113,70.338347,Harbor Point
LOC_0083,21.788604,76.817773,Harbor Point
LOC_0084,12.427918,79.249745,Safehouse
LOC_0085,23.973279,87.560451,Warehouse
LOC_0086,16.949958,78.797332,Warehouse
LOC_0087,20.807431,70.4298,Safehouse
LOC_0088,17.709496,77.988338,Warehouse
LOC_0089,30.746937,86.556226,Warehouse
LOC_0090,8.103063,82.7699,Commercial Office
LOC_0091,15.950736,82.109027,Residential Hub
LOC_0092,29.503459,87.392111,Commercial Office
LOC_0093,24.005306,83.991523,Transit Point
LOC_0094,29.765139,76.842111,Transit Point
LOC_0095,10.695575,77.579625,Safehouse
LOC_0096,11.346159,79.0192,Harbor Point
LOC_0097,8.595094,80.35044,Warehouse
LOC_0098,18.703345,69.849623,Safehouse
LOC_0099,22.595629,71.902995,Commercial Office
LOC_0100,13.331453,86.713302,Harbor Point
LOC_0101,12.697176,69.671791,Residential Hub
LOC_0102,24.249521,87.152474,Commercial Office
LOC_0103,17.466167,77.809307,Commercial Office
LOC_0104,22.521868,86.868043,Transit Point
LOC_0105,16.665557,70.958919,Residential Hub
LOC_0106,16.871119,75.456623,Harbor Point
LOC_0107,16.278085,74.161707,Residential Hub
LOC_0108,28.983242,69.751973,Transit Point
LOC_0109,29.307317,82.830554,Residential Hub
LOC_0110,27.288452,73.77268,Transit Point
LOC_0111,31.288656,76.476644,Residential Hub
LOC_0112,11.349624,79.743601,Safehouse
LOC_0113,11.447343,74.064623,Commercial Office
LOC_0114,31.67932,69.322316,Commercial Office
LOC_0115,26.146737,69.768966,Residential Hub
LOC_0116,23.331344,73.466577,Warehouse
LOC_0117,21.339532,82.20494,Warehouse
LOC_0118,12.782181,84.645674,Harbor Point
LOC_0119,21.292806,68.844658,Harbor Point
LOC_0120,28.030045,74.078288,Commercial Office
LOC_0121,25.756545,72.490404,Safehouse
LOC_0122,11.696575,74.003388,Transit Point
LOC_0123,28.021834,77.450823,Transit Point
LOC_0124,23.981923,73.753781,Warehouse
LOC_0125,19.805276,81.756864,Warehouse
LOC_0126,8.682622,83.294367,Residential Hub
LOC_0127,31.863991,69.334497,Transit Point
LOC_0128,16.682228,77.609718,Residential Hub
LOC_0129,28.840302,80.559921,Residential Hub
LOC_0130,31.38221,84.365616,Harbor Point
LOC_0131,20.300621,79.505274,Harbor Point
LOC_0132,11.908334,69.170208,Harbor Point
LOC_0133,19.065055,81.865661,Harbor Point
LOC_0134,11.919412,73.453407,Residential Hub
LOC_0135,23.269931,87.103127,Safehouse
LOC_0136,14.956549,78.592247,Safehouse
LOC_0137,20.332796,83.328849,Warehouse
LOC_0138,26.352545,79.97525,Warehouse
LOC_0139,21.049096,85.448863,Transit Point
LOC_0140,27.197053,73.429179,Transit Point
LOC_0141,24.520319,69.916668,Commercial Office
LOC_0142,16.439105,70.87435,Warehouse
LOC_0143,20.436098,75.460284,Residential Hub
LOC_0144,17.887868,86.418148,Warehouse
LOC_0145,10.458029,71.091098,Warehouse
LOC_0146,27.957765,83.902135,Commercial Office
LOC_0147,22.722281,84.628324,Commercial Office
LOC_0148,28.305674,82.250943,Transit Point
LOC_0149,26.151362,70.279335,Residential Hub
LOC_0150,29.984748,70.331313,Warehouse
