org_id,org_name,type,threat_level
ORG_0001,Syndicate-001 Hawala Ring,Gang,High
ORG_0002,Syndicate-002 Cybercrime Cell,Gang,Critical
ORG_0003,Syndicate-003 Gang,Smuggling Syndicate,Low
ORG_0004,Syndicate-004 Hawala Ring,Cartel,Medium
ORG_0005,Syndicate-005 Smuggling Syndicate,Gang,Critical
ORG_0006,Syndicate-006 Front Company,Front Company,Medium
ORG_0007,Syndicate-007 Cybercrime Cell,Front Company,Medium
ORG_0008,Syndicate-008 Gang,Smuggling Syndicate,High
ORG_0009,Syndicate-009 Cartel,Cybercrime Cell,High
ORG_0010,Syndicate-010 Cartel,Cartel,Medium
ORG_0011,Syndicate-011 Front Company,Front Company,Critical
ORG_0012,Syndicate-012 Hawala Ring,Front Company,Medium
ORG_0013,Syndicate-013 Front Company,Cybercrime Cell,Critical
ORG_0014,Syndicate-014 Front Company,Hawala Ring,Medium
ORG_0015,Syndicate-015 Smuggling Syndicate,Front Company,Low
ORG_0016,Syndicate-016 Hawala Ring,Front Company,Critical
ORG_0017,Syndicate-017 Cybercrime Cell,Hawala Ring,Low
ORG_0018,Syndicate-018 Cartel,Smuggling Syndicate,High
ORG_0019,Syndicate-019 Front Company,Smuggling Syndicate,High
ORG_0020,Syndicate-020 Hawala Ring,Hawala Ring,High
ORG_0021,Syndicate-021 Cartel,Hawala Ring,Critical
ORG_0022,Syndicate-022 Front Company,Cybercrime Cell,Medium
ORG_0023,Syndicate-023 Cybercrime Cell,Cybercrime Cell,Medium
ORG_0024,Syndicate-024 Smuggling Syndicate,Hawala Ring,Medium
ORG_0025,Syndicate-025 Hawala Ring,Smuggling Syndicate,Low
ORG_0026,Syndicate-026 Cybercrime Cell,Cartel,Low
ORG_0027,Syndicate-027 Cartel,Front Company,Low
ORG_0028,Syndicate-028 Smuggling Syndicate,Cartel,Critical
ORG_0029,Syndicate-029 Hawala Ring,Gang,High
ORG_0030,Syndicate-030 Hawala Ring,Gang,Low
ORG_0031,Syndicate-031 Cartel,Smuggling Syndicate,Low
ORG_0032,Syndicate-032 Cartel,Smuggling Syndicate,Medium
ORG_0033,Syndicate-033 Smuggling Syndicate,Cybercrime Cell,Low
ORG_0034,Syndicate-034 Cybercrime Cell,Cartel,Low
