person_id,account_id,account_role
PER_0001,ACC_0909,Benami
PER_0002,ACC_0787,Primary
PER_0003,ACC_0178,Primary
PER_0004,ACC_0960,Primary
PER_0005,ACC_0604,Primary
PER_0006,ACC_0741,Primary
PER_0006,ACC_0697,Primary
PER_0007,ACC_0861,Primary
PER_0008,ACC_0274,Primary
PER_0009,ACC_0451,Primary
PER_0010,ACC_0923,Primary
PER_0011,ACC_0311,Primary
PER_0012,ACC_0966,Primary
PER_0013,ACC_0074,Primary
PER_0014,ACC_0648,Primary
PER_0014,ACC_0559,Primary
PER_0015,ACC_0114,Benami
PER_0015,ACC_1131,Primary
PER_0016,ACC_1190,Primary
PER_0016,ACC_0662,Benami
PER_0017,ACC_0862,Primary
PER_0017,ACC_1017,Benami
PER_0018,ACC_1116,Primary
PER_0019,ACC_0927,Primary
PER_0020,ACC_1054,Primary
PER_0020,ACC_0136,Benami
PER_0021,ACC_0119,Primary
PER_0021,ACC_1143,Primary
PER_0022,ACC_0344,Primary
PER_0022,ACC_0830,Benami
PER_0023,ACC_1128,Primary
PER_0023,ACC_1049,Benami
PER_0024,ACC_0319,Primary
PER_0025,ACC_0817,Benami
PER_0025,ACC_0163,Primary
PER_0026,ACC_0370,Benami
PER_0027,ACC_0684,Primary
PER_0028,ACC_0317,Primary
PER_0029,ACC_0202,Primary
PER_0029,ACC_1047,Primary
PER_0030,ACC_1001,Benami
PER_0031,ACC_0795,Primary
PER_0031,ACC_0076,Benami
PER_0032,ACC_0450,Primary
PER_0033,ACC_1137,Benami
PER_0034,ACC_0459,Benami
PER_0035,ACC_0623,Primary
PER_0035,ACC_0931,Benami
PER_0036,ACC_0091,Primary
PER_0036,ACC_0862,Primary
PER_0037,ACC_1063,Primary
PER_0037,ACC_0462,Benami
PER_0038,ACC_0914,Primary
PER_0038,ACC_0028,Primary
PER_0039,ACC_0350,Primary
PER_0040,ACC_0206,Primary
PER_0041,ACC_0088,Primary
PER_0041,ACC_0652,Primary
PER_0042,ACC_0261,Primary
PER_0042,ACC_0192,Primary
PER_0043,ACC_1058,Benami
PER_0044,ACC_0540,Primary
PER_0044,ACC_0092,Primary
PER_0045,ACC_0215,Primary
PER_0046,ACC_0131,Primary
PER_0046,ACC_0632,Primary
PER_0047,ACC_0313,Primary
PER_0048,ACC_0101,Primary
PER_0048,ACC_0407,Primary
PER_0049,ACC_0665,Primary
PER_0050,ACC_1094,Primary
PER_0050,ACC_0153,Primary
PER_0051,ACC_0923,Primary
PER_0051,ACC_0915,Primary
PER_0052,ACC_0476,Primary
PER_0053,ACC_0547,Primary
PER_0053,ACC_0732,Benami
PER_0054,ACC_0969,Primary
PER_0054,ACC_1177,Benami
PER_0055,ACC_0867,Primary
PER_0056,ACC_0611,Benami
PER_0056,ACC_0045,Benami
PER_0057,ACC_0654,Primary
PER_0058,ACC_1037,Primary
PER_0058,ACC_0427,Primary
PER_0059,ACC_0750,Primary
PER_0059,ACC_0928,Benami
PER_0060,ACC_0900,Benami
PER_0061,ACC_1146,Primary
PER_0061,ACC_0427,Benami
PER_0062,ACC_0679,Primary
PER_0063,ACC_0336,Benami
PER_0063,ACC_0465,Primary
PER_0064,ACC_0764,Primary
PER_0064,ACC_0142,Primary
PER_0065,ACC_1101,Primary
PER_0065,ACC_0507,Primary
PER_0066,ACC_0956,Primary
PER_0067,ACC_0598,Primary
PER_0067,ACC_0788,Primary
PER_0068,ACC_0362,Primary
PER_0068,ACC_0251,Primary
PER_0069,ACC_1116,Primary
PER_0069,ACC_0581,Primary
PER_0070,ACC_0549,Primary
PER_0070,ACC_0236,Primary
PER_0071,ACC_0027,Primary
PER_0071,ACC_0331,Benami
PER_0072,ACC_0829,Primary
PER_0073,ACC_0588,Primary
PER_0074,ACC_0467,Primary
PER_0075,ACC_0561,Primary
PER_0075,ACC_0983,Primary
PER_0076,ACC_1152,Primary
PER_0076,ACC_0417,Primary
PER_0077,ACC_0053,Primary
PER_0077,ACC_0264,Primary
PER_0078,ACC_1098,Primary
PER_0079,ACC_0413,Primary
PER_0080,ACC_0311,Primary
PER_0081,ACC_0061,Primary
PER_0081,ACC_1178,Primary
PER_0082,ACC_0239,Primary
PER_0083,ACC_0852,Primary
PER_0084,ACC_0253,Primary
PER_0084,ACC_0774,Primary
PER_0085,ACC_0004,Benami
PER_0086,ACC_0808,Benami
PER_0086,ACC_0493,Primary
PER_0087,ACC_0276,Primary
PER_0088,ACC_0274,Primary
PER_0089,ACC_0551,Primary
PER_0090,ACC_0149,Primary
PER_0091,ACC_0897,Primary
PER_0092,ACC_0863,Primary
PER_0093,ACC_0193,Primary
PER_0094,ACC_0148,Benami
PER_0094,ACC_0671,Primary
PER_0095,ACC_0247,Benami
PER_0095,ACC_0562,Primary
PER_0096,ACC_0503,Primary
PER_0097,ACC_0129,Primary
PER_0097,ACC_0938,Primary
PER_0098,ACC_0890,Benami
PER_0098,ACC_0630,Primary
PER_0099,ACC_0226,Primary
PER_0100,ACC_1003,Primary
PER_0101,ACC_0447,Primary
PER_0101,ACC_0137,Primary
PER_0102,ACC_0782,Primary
PER_0102,ACC_0686,Primary
PER_0103,ACC_0996,Primary
PER_0104,ACC_0539,Benami
PER_0104,ACC_0190,Benami
PER_0105,ACC_1122,Primary
PER_0106,ACC_0686,Primary
PER_0107,ACC_0556,Primary
PER_0108,ACC_1126,Primary
PER_0108,ACC_0818,Benami
PER_0109,ACC_1173,Benami
PER_0110,ACC_0494,Benami
PER_0110,ACC_0479,Primary
PER_0111,ACC_0775,Primary
PER_0111,ACC_0172,Primary
PER_0112,ACC_0305,Primary
PER_0113,ACC_0534,Primary
PER_0114,ACC_1078,Primary
PER_0114,ACC_1059,Primary
PER_0115,ACC_0131,Benami
PER_0116,ACC_0593,Benami
PER_0117,ACC_0585,Primary
PER_0117,ACC_0500,Primary
PER_0118,ACC_0195,Benami
PER_0118,ACC_1053,Primary
PER_0119,ACC_1029,Benami
PER_0119,ACC_0106,Primary
PER_0120,ACC_0499,Primary
