person_id,location_id,association_type
PER_0001,LOC_0010,Meeting Point
PER_0001,LOC_0096,Meeting Point
PER_0002,LOC_0027,Spotted
PER_0002,LOC_0048,Residence
PER_0003,LOC_0095,Residence
PER_0003,LOC_0133,Spotted
PER_0003,LOC_0145,Residence
PER_0004,LOC_0043,Spotted
PER_0004,LOC_0130,Residence
PER_0004,LOC_0004,Meeting Point
PER_0005,LOC_0111,Residence
PER_0005,LOC_0012,Frequent Hideout
PER_0006,LOC_0149,Frequent Hideout
PER_0007,LOC_0135,Spotted
PER_0007,LOC_0142,Spotted
PER_0008,LOC_0009,Meeting Point
PER_0008,LOC_0150,Frequent Hideout
PER_0009,LOC_0022,Frequent Hideout
PER_0009,LOC_0084,Meeting Point
PER_0010,LOC_0083,Spotted
PER_0010,LOC_0142,Spotted
PER_0011,LOC_0040,Frequent Hideout
PER_0011,LOC_0004,Frequent Hideout
PER_0012,LOC_0143,Spotted
PER_0012,LOC_0039,Meeting Point
PER_0013,LOC_0019,Frequent Hideout
PER_0014,LOC_0061,Residence
PER_0014,LOC_0119,Spotted
PER_0015,LOC_0011,Residence
PER_0015,LOC_0058,Residence
PER_0016,LOC_0009,Meeting Point
PER_0016,LOC_0040,Residence
PER_0016,LOC_0098,Spotted
PER_0017,LOC_0064,Meeting Point
PER_0018,LOC_0099,Residence
PER_0019,LOC_0068,Meeting Point
PER_0020,LOC_0129,Residence
PER_0021,LOC_0149,Frequent Hideout
PER_0022,LOC_0081,Spotted
PER_0022,LOC_0097,Meeting Point
PER_0022,LOC_0037,Meeting Point
PER_0023,LOC_0142,Residence
PER_0023,LOC_0055,Residence
PER_0023,LOC_0075,Frequent Hideout
PER_0024,LOC_0021,Residence
PER_0024,LOC_0072,Frequent Hideout
PER_0025,LOC_0133,Residence
PER_0026,LOC_0144,Residence
PER_0027,LOC_0003,Residence
PER_0027,LOC_0088,Frequent Hideout
PER_0028,LOC_0081,Residence
PER_0029,LOC_0001,Spotted
PER_0029,LOC_0080,Meeting Point
PER_0030,LOC_0129,Spotted
PER_0031,LOC_0001,Spotted
PER_0031,LOC_0147,Residence
PER_0032,LOC_0117,Spotted
PER_0032,LOC_0026,Meeting Point
PER_0033,LOC_0055,Frequent Hideout
PER_0033,LOC_0018,Residence
PER_0033,LOC_0006,Spotted
PER_0034,LOC_0100,Spotted
PER_0034,LOC_0070,Meeting Point
PER_0035,LOC_0040,Meeting Point
PER_0036,LOC_0121,Residence
PER_0036,LOC_0069,Meeting Point
PER_0037,LOC_0069,Frequent Hideout
PER_0037,LOC_0007,Meeting Point
PER_0037,LOC_0057,Spotted
PER_0038,LOC_0149,Meeting Point
PER_0038,LOC_0135,Residence
PER_0039,LOC_0059,Frequent Hideout
PER_0039,LOC_0064,Meeting Point
PER_0039,LOC_0028,Spotted
PER_0040,LOC_0048,Meeting Point
PER_0041,LOC_0019,Meeting Point
PER_0041,LOC_0002,Residence
PER_0042,LOC_0043,Meeting Point
PER_0043,LOC_0090,Residence
PER_0043,LOC_0060,Residence
PER_0044,LOC_0126,Frequent Hideout
PER_0044,LOC_0102,Residence
PER_0045,LOC_0010,Meeting Point
PER_0045,LOC_0021,Spotted
PER_0045,LOC_0007,Spotted
PER_0046,LOC_0025,Spotted
PER_0046,LOC_0043,Frequent Hideout
PER_0047,LOC_0010,Spotted
PER_0047,LOC_0100,Residence
PER_0048,LOC_0072,Meeting Point
PER_0049,LOC_0134,Meeting Point
PER_0049,LOC_0103,Spotted
PER_0050,LOC_0097,Spotted
PER_0050,LOC_0150,Spotted
PER_0050,LOC_0133,Residence
PER_0051,LOC_0004,Meeting Point
PER_0051,LOC_0064,Residence
PER_0052,LOC_0014,Meeting Point
PER_0053,LOC_0002,Meeting Point
PER_0053,LOC_0019,Meeting Point
PER_0054,LOC_0124,Spotted
PER_0055,LOC_0080,Residence
PER_0055,LOC_0051,Meeting Point
