person_id,org_id,role_in_org
PER_0001,ORG_0094,Enforcer
PER_0002,ORG_0041,Lieutenant
PER_0003,ORG_0112,Associate
PER_0004,ORG_0043,Informant
PER_0005,ORG_0008,Lieutenant
PER_0006,ORG_0075,Courier
PER_0007,ORG_0019,Informant
PER_0008,ORG_0091,Money Launderer
PER_0009,ORG_0005,Informant
PER_0012,ORG_0053,Kingpin
PER_0013,ORG_0101,Smuggler
PER_0014,ORG_0119,Courier
PER_0015,ORG_0095,Associate
PER_0018,ORG_0039,Courier
PER_0020,ORG_0116,Courier
PER_0022,ORG_0070,Enforcer
PER_0023,ORG_0100,Informant
PER_0024,ORG_0007,Smuggler
PER_0025,ORG_0025,Lieutenant
PER_0026,ORG_0100,Enforcer
PER_0027,ORG_0032,Smuggler
PER_0028,ORG_0054,Courier
PER_0029,ORG_0031,Smuggler
PER_0031,ORG_0099,Money Launderer
PER_0032,ORG_0039,Courier
PER_0034,ORG_0007,Lieutenant
PER_0036,ORG_0116,Lieutenant
PER_0037,ORG_0052,Kingpin
PER_0038,ORG_0034,Smuggler
PER_0039,ORG_0119,Associate
PER_0040,ORG_0082,Courier
PER_0041,ORG_0013,Kingpin
PER_0042,ORG_0002,Enforcer
PER_0043,ORG_0096,Smuggler
PER_0044,ORG_0008,Lieutenant
PER_0047,ORG_0112,Lieutenant
PER_0048,ORG_0071,Informant
PER_0049,ORG_0107,Money Launderer
PER_0050,ORG_0111,Lieutenant
PER_0051,ORG_0117,Enforcer
PER_0052,ORG_0073,Money Launderer
PER_0053,ORG_0012,Money Launderer
PER_0054,ORG_0108,Enforcer
PER_0055,ORG_0048,Enforcer
PER_0056,ORG_0014,Enforcer
PER_0057,ORG_0078,Smuggler
PER_0058,ORG_0005,Enforcer
PER_0059,ORG_0013,Kingpin
PER_0060,ORG_0095,Smuggler
PER_0061,ORG_0089,Smuggler
PER_0062,ORG_0031,Smuggler
PER_0064,ORG_0008,Informant
PER_0065,ORG_0093,Money Launderer
PER_0066,ORG_0106,Associate
PER_0067,ORG_0100,Kingpin
PER_0068,ORG_0099,Smuggler
PER_0069,ORG_0032,Lieutenant
PER_0070,ORG_0010,Informant
PER_0071,ORG_0028,Associate
PER_0072,ORG_0049,Kingpin
PER_0073,ORG_0064,Informant
PER_0075,ORG_0105,Informant
PER_0076,ORG_0039,Smuggler
PER_0078,ORG_0092,Associate
PER_0079,ORG_0038,Courier
PER_0080,ORG_0112,Courier
PER_0081,ORG_0020,Associate
PER_0082,ORG_0043,Smuggler
PER_0083,ORG_0120,Money Launderer
PER_0084,ORG_0060,Lieutenant
PER_0086,ORG_0049,Kingpin
PER_0087,ORG_0001,Kingpin
PER_0088,ORG_0051,Money Launderer
PER_0091,ORG_0083,Enforcer
PER_0092,ORG_0019,Kingpin
PER_0093,ORG_0093,Money Launderer
PER_0096,ORG_0021,Kingpin
PER_0097,ORG_0098,Smuggler
PER_0099,ORG_0081,Lieutenant
PER_0100,ORG_0101,Money Launderer
PER_0101,ORG_0009,Smuggler
PER_0103,ORG_0111,Informant
PER_0104,ORG_0095,Informant
PER_0106,ORG_0114,Money Launderer
PER_0107,ORG_0029,Smuggler
PER_0108,ORG_0001,Informant
PER_0109,ORG_0009,Money Launderer
PER_0110,ORG_0109,Courier
PER_0111,ORG_0105,Courier
PER_0112,ORG_0084,Smuggler
PER_0113,ORG_0007,Associate
PER_0114,ORG_0018,Money Launderer
PER_0115,ORG_0052,Enforcer
PER_0116,ORG_0068,Money Launderer
PER_0118,ORG_0103,Money Launderer
PER_0119,ORG_0089,Kingpin
PER_0120,ORG_0060,Kingpin
PER_0121,ORG_0109,Lieutenant
PER_0122,ORG_0007,Money Launderer
PER_0124,ORG_0060,Associate
PER_0126,ORG_0017,Enforcer
PER_0127,ORG_0013,Courier
PER_0129,ORG_0083,Smuggler
PER_0130,ORG_0095,Enforcer
PER_0131,ORG_0052,Money Launderer
PER_0132,ORG_0004,Money Launderer
PER_0133,ORG_0058,Associate
PER_0134,ORG_0041,Kingpin
PER_0135,ORG_0047,Enforcer
PER_0136,ORG_0103,Associate
PER_0137,ORG_0015,Informant
PER_0138,ORG_0105,Courier
PER_0141,ORG_0116,Informant
PER_0142,ORG_0027,Smuggler
PER_0143,ORG_0031,Courier
PER_0144,ORG_0094,Kingpin
PER_0145,ORG_0120,Lieutenant
PER_0146,ORG_0059,Money Launderer
PER_0147,ORG_0094,Enforcer
PER_0148,ORG_0086,Associate
PER_0149,ORG_0046,Courier
PER_0151,ORG_0014,Associate
PER_0152,ORG_0096,Associate
PER_0153,ORG_0104,Informant
PER_0154,ORG_0054,Kingpin
PER_0155,ORG_0025,Money Launderer
PER_0156,ORG_0016,Associate
PER_0157,ORG_0094,Smuggler
PER_0159,ORG_0034,Kingpin
PER_0160,ORG_0037,Enforcer
PER_0161,ORG_0078,Enforcer
PER_0162,ORG_0111,Enforcer
PER_0163,ORG_0119,Courier
PER_0164,ORG_0087,Money Launderer
PER_0165,ORG_0084,Money Launderer
PER_0166,ORG_0028,Informant
PER_0167,ORG_0048,Kingpin
PER_0168,ORG_0075,Money Launderer
PER_0169,ORG_0097,Smuggler
PER_0171,ORG_0099,Enforcer
PER_0174,ORG_0090,Courier
PER_0175,ORG_0033,Associate
PER_0176,ORG_0074,Lieutenant
PER_0178,ORG_0063,Informant
PER_0181,ORG_0075,Enforcer
PER_0182,ORG_0027,Associate
PER_0183,ORG_0087,Courier
PER_0185,ORG_0032,Informant
PER_0186,ORG_0062,Lieutenant
PER_0187,ORG_0006,Kingpin
PER_0188,ORG_0051,Smuggler
PER_0189,ORG_0066,Smuggler
PER_0190,ORG_0093,Enforcer
PER_0191,ORG_0048,Kingpin
PER_0192,ORG_0043,Enforcer
PER_0193,ORG_0023,Lieutenant
PER_0194,ORG_0022,Smuggler
PER_0196,ORG_0036,Associate
PER_0197,ORG_0063,Lieutenant
PER_0198,ORG_0065,Informant
PER_0202,ORG_0086,Money Launderer
PER_0203,ORG_0038,Lieutenant
PER_0204,ORG_0016,Kingpin
PER_0205,ORG_0074,Associate
PER_0206,ORG_0103,Lieutenant
PER_0208,ORG_0011,Associate
PER_0209,ORG_0059,Money Launderer
PER_0210,ORG_0043,Informant
PER_0211,ORG_0002,Enforcer
PER_0212,ORG_0073,Associate
PER_0213,ORG_0088,Lieutenant
PER_0214,ORG_0109,Lieutenant
PER_0215,ORG_0108,Money Launderer
PER_0216,ORG_0083,Courier
PER_0218,ORG_0062,Money Launderer
PER_0219,ORG_0064,Associate
PER_0220,ORG_0100,Informant
PER_0221,ORG_0011,Lieutenant
PER_0222,ORG_0027,Associate
PER_0225,ORG_0039,Money Launderer
PER_0226,ORG_0027,Lieutenant
PER_0227,ORG_0065,Enforcer
PER_0228,ORG_0010,Enforcer
PER_0230,ORG_0046,Lieutenant
PER_0232,ORG_0116,Money Launderer
PER_0233,ORG_0021,Courier
PER_0235,ORG_0005,Informant
PER_0236,ORG_0025,Smuggler
PER_0237,ORG_0090,Informant
PER_0238,ORG_0058,Kingpin
PER_0239,ORG_0054,Associate
PER_0241,ORG_0026,Enforcer
PER_0244,ORG_0114,Courier
PER_0245,ORG_0059,Lieutenant
PER_0246,ORG_0104,Enforcer
PER_0247,ORG_0041,Enforcer
PER_0248,ORG_0052,Smuggler
PER_0249,ORG_0035,Smuggler
PER_0250,ORG_0119,Courier
PER_0251,ORG_0118,Enforcer
PER_0252,ORG_0103,Informant
PER_0254,ORG_0009,Enforcer
PER_0257,ORG_0096,Informant
PER_0258,ORG_0034,Courier
PER_0259,ORG_0045,Kingpin
PER_0260,ORG_0075,Associate
PER_0262,ORG_0001,Courier
PER_0264,ORG_0010,Associate
PER_0265,ORG_0113,Kingpin
PER_0266,ORG_0054,Informant
PER_0267,ORG_0080,Lieutenant
PER_0268,ORG_0028,Informant
PER_0269,ORG_0098,Courier
PER_0270,ORG_0081,Courier
PER_0271,ORG_0048,Informant
PER_0272,ORG_0042,Smuggler
PER_0273,ORG_0040,Informant
PER_0274,ORG_0114,Associate
PER_0275,ORG_0013,Money Launderer
PER_0277,ORG_0005,Money Launderer
PER_0278,ORG_0039,Courier
PER_0279,ORG_0051,Kingpin
PER_0282,ORG_0053,Kingpin
PER_0283,ORG_0120,Lieutenant
PER_0284,ORG_0021,Smuggler
PER_0285,ORG_0039,Associate
PER_0286,ORG_0043,Smuggler
PER_0287,ORG_0037,Enforcer
PER_0288,ORG_0021,Lieutenant
PER_0292,ORG_0091,Courier
PER_0293,ORG_0050,Associate
PER_0294,ORG_0090,Lieutenant
PER_0296,ORG_0073,Kingpin
PER_0297,ORG_0063,Smuggler
PER_0298,ORG_0011,Money Launderer
PER_0299,ORG_0032,Enforcer
PER_0300,ORG_0030,Informant
PER_0301,ORG_0050,Money Launderer
PER_0302,ORG_0118,Money Launderer
PER_0303,ORG_0080,Associate
PER_0304,ORG_0107,Associate
PER_0305,ORG_0061,Informant
PER_0306,ORG_0093,Lieutenant
PER_0307,ORG_0054,Enforcer
PER_0309,ORG_0119,Courier
PER_0310,ORG_0110,Associate
PER_0311,ORG_0007,Kingpin
PER_0312,ORG_0100,Lieutenant
PER_0313,ORG_0051,Informant
PER_0316,ORG_0098,Informant
PER_0317,ORG_0095,Associate
PER_0319,ORG_0022,Informant
PER_0320,ORG_0014,Courier
PER_0321,ORG_0052,Lieutenant
PER_0323,ORG_0116,Enforcer
PER_0324,ORG_0056,Lieutenant
PER_0325,ORG_0107,Smuggler
PER_0327,ORG_0117,Informant
PER_0328,ORG_0016,Money Launderer
PER_0330,ORG_0056,Courier
PER_0331,ORG_0094,Lieutenant
PER_0332,ORG_0018,Enforcer
PER_0333,ORG_0077,Courier
PER_0334,ORG_0009,Money Launderer
PER_0335,ORG_0056,Smuggler
PER_0336,ORG_0113,Associate
PER_0337,ORG_0015,Kingpin
PER_0338,ORG_0079,Courier
PER_0340,ORG_0061,Kingpin
PER_0341,ORG_0073,Kingpin
PER_0343,ORG_0095,Informant
PER_0344,ORG_0076,Smuggler
PER_0347,ORG_0015,Associate
PER_0348,ORG_0014,Smuggler
PER_0349,ORG_0021,Informant
PER_0350,ORG_0117,Smuggler
PER_0351,ORG_0065,Money Launderer
PER_0356,ORG_0047,Courier
PER_0357,ORG_0051,Courier
PER_0358,ORG_0075,Kingpin
PER_0361,ORG_0053,Associate
PER_0362,ORG_0001,Associate
PER_0363,ORG_0107,Enforcer
PER_0365,ORG_0014,Courier
PER_0366,ORG_0114,Smuggler
PER_0369,ORG_0083,Kingpin
PER_0370,ORG_0040,Smuggler
PER_0371,ORG_0065,Smuggler
PER_0372,ORG_0067,Informant
PER_0373,ORG_0047,Money Launderer
PER_0374,ORG_0070,Courier
PER_0376,ORG_0060,Courier
PER_0378,ORG_0016,Associate
PER_0379,ORG_0050,Courier
PER_0380,ORG_0086,Kingpin
PER_0381,ORG_0078,Smuggler
PER_0382,ORG_0117,Smuggler
PER_0383,ORG_0035,Smuggler
PER_0384,ORG_0074,Associate
PER_0386,ORG_0041,Associate
PER_0390,ORG_0115,Courier
PER_0393,ORG_0113,Informant
PER_0396,ORG_0113,Smuggler
PER_0397,ORG_0022,Lieutenant
PER_0398,ORG_0031,Smuggler
PER_0399,ORG_0070,Lieutenant
PER_0400,ORG_0092,Kingpin
PER_0401,ORG_0094,Informant
PER_0403,ORG_0113,Kingpin
PER_0404,ORG_0033,Associate
PER_0405,ORG_0051,Associate
PER_0406,ORG_0011,Lieutenant
PER_0407,ORG_0100,Lieutenant
PER_0409,ORG_0041,Associate
PER_0410,ORG_0107,Money Launderer
PER_0411,ORG_0113,Lieutenant
PER_0412,ORG_0031,Lieutenant
PER_0413,ORG_0057,Associate
PER_0414,ORG_0105,Informant
PER_0415,ORG_0050,Lieutenant
PER_0417,ORG_0080,Lieutenant
PER_0418,ORG_0026,Lieutenant
PER_0419,ORG_0082,Smuggler
PER_0420,ORG_0085,Informant
PER_0421,ORG_0069,Enforcer
PER_0422,ORG_0091,Associate
PER_0423,ORG_0055,Smuggler
PER_0424,ORG_0117,Smuggler
PER_0425,ORG_0007,Courier
PER_0426,ORG_0090,Lieutenant
PER_0427,ORG_0111,Money Launderer
PER_0428,ORG_0111,Lieutenant
PER_0431,ORG_0023,Kingpin
PER_0432,ORG_0108,Lieutenant
PER_0433,ORG_0003,Enforcer
PER_0434,ORG_0028,Lieutenant
PER_0435,ORG_0113,Smuggler
PER_0436,ORG_0110,Courier
PER_0438,ORG_0105,Enforcer
PER_0439,ORG_0077,Enforcer
PER_0440,ORG_0064,Smuggler
PER_0441,ORG_0019,Smuggler
PER_0442,ORG_0060,Enforcer
PER_0443,ORG_0018,Courier
PER_0444,ORG_0024,Lieutenant
PER_0445,ORG_0038,Money Launderer
PER_0446,ORG_0056,Smuggler
PER_0447,ORG_0086,Associate
PER_0448,ORG_0076,Courier
PER_0449,ORG_0076,Enforcer
PER_0451,ORG_0056,Courier
PER_0452,ORG_0097,Courier
PER_0453,ORG_0030,Smuggler
PER_0454,ORG_0041,Courier
PER_0455,ORG_0029,Informant
PER_0456,ORG_0014,Associate
PER_0457,ORG_0022,Informant
PER_0458,ORG_0066,Smuggler
PER_0459,ORG_0117,Enforcer
PER_0460,ORG_0025,Money Launderer
PER_0461,ORG_0081,Money Launderer
PER_0463,ORG_0071,Informant
PER_0464,ORG_0067,Money Launderer
PER_0466,ORG_0095,Courier
PER_0467,ORG_0036,Courier
PER_0469,ORG_0046,Informant
PER_0470,ORG_0059,Kingpin
PER_0471,ORG_0030,Enforcer
PER_0473,ORG_0048,Informant
PER_0474,ORG_0010,Associate
PER_0475,ORG_0093,Lieutenant
PER_0476,ORG_0075,Courier
PER_0477,ORG_0087,Courier
PER_0480,ORG_0091,Enforcer
PER_0481,ORG_0008,Courier
PER_0482,ORG_0105,Associate
PER_0483,ORG_0110,Lieutenant
