person_id,phone_id,registered_since
PER_0001,PH_1065,2023-03-17
PER_0001,PH_0259,2024-02-27
PER_0002,PH_1214,2021-03-21
PER_0003,PH_0294,2021-04-22
PER_0004,PH_1196,2024-02-10
PER_0004,PH_0948,2023-04-18
PER_0005,PH_0282,2022-04-10
PER_0006,PH_1310,2023-08-04
PER_0007,PH_0168,2021-01-23
PER_0007,PH_0947,2022-05-25
PER_0008,PH_0538,2024-06-13
PER_0008,PH_0674,2021-06-03
PER_0009,PH_0423,2023-02-11
PER_0009,PH_0872,2024-03-27
PER_0010,PH_1072,2022-08-31
PER_0011,PH_0170,2021-10-11
PER_0012,PH_1308,2021-02-16
PER_0013,PH_1082,2023-02-21
PER_0014,PH_0890,2021-06-27
PER_0014,PH_1099,2024-04-19
PER_0015,PH_1184,2022-01-17
PER_0016,PH_1104,2022-03-04
PER_0016,PH_0164,2022-06-07
PER_0017,PH_0047,2024-02-21
PER_0018,PH_0216,2022-11-23
PER_0019,PH_1182,2022-07-30
PER_0019,PH_0097,2022-05-06
PER_0020,PH_1148,2022-10-23
PER_0021,PH_1199,2021-12-10
PER_0021,PH_0426,2024-07-02
PER_0022,PH_0184,2024-07-11
PER_0022,PH_1287,2023-10-18
PER_0023,PH_1034,2024-03-12
PER_0023,PH_1103,2021-02-02
PER_0024,PH_0025,2022-05-10
PER_0024,PH_1370,2021-10-31
PER_0025,PH_1379,2022-09-05
PER_0026,PH_0249,2021-07-09
PER_0027,PH_1198,2021-05-04
PER_0028,PH_0510,2023-04-08
PER_0029,PH_1175,2023-01-07
PER_0030,PH_0276,2022-05-05
PER_0030,PH_1324,2022-06-28
PER_0031,PH_0499,2024-01-29
PER_0032,PH_0087,2021-04-02
PER_0032,PH_1176,2023-12-09
PER_0033,PH_1096,2023-02-20
PER_0033,PH_0207,2024-01-20
PER_0034,PH_0088,2022-03-17
PER_0035,PH_0125,2022-04-11
PER_0035,PH_0278,2021-11-26
PER_0036,PH_0424,2021-04-19
PER_0036,PH_0821,2022-06-18
PER_0037,PH_0422,2024-03-22
PER_0037,PH_0777,2022-09-17
PER_0038,PH_0901,2021-05-03
PER_0039,PH_0715,2023-03-03
PER_0040,PH_1164,2021-11-21
PER_0040,PH_0503,2022-07-03
PER_0041,PH_1268,2021-04-04
PER_0042,PH_1284,2022-06-03
PER_0043,PH_0882,2022-07-24
PER_0043,PH_0186,2023-09-11
PER_0044,PH_0923,2022-01-18
PER_0044,PH_1364,2021-05-14
PER_0045,PH_0791,2022-01-07
PER_0045,PH_0770,2023-06-28
PER_0046,PH_1164,2022-07-09
PER_0046,PH_0381,2022-06-23
PER_0047,PH_0208,2022-08-14
PER_0048,PH_0505,2023-11-21
PER_0048,PH_0805,2023-08-11
PER_0049,PH_1352,2021-07-28
PER_0050,PH_0966,2023-01-26
PER_0051,PH_0936,2021-02-13
PER_0052,PH_1116,2023-07-13
PER_0053,PH_1332,2022-09-29
PER_0053,PH_0775,2021-01-08
PER_0054,PH_0511,2021-10-03
PER_0054,PH_0605,2023-03-21
PER_0055,PH_0774,2024-06-08
PER_0056,PH_0526,2024-06-23
PER_0056,PH_0141,2023-12-31
PER_0057,PH_0157,2021-06-12
PER_0057,PH_0072,2023-08-27
PER_0058,PH_0663,2021-11-15
PER_0058,PH_1300,2022-06-05
PER_0059,PH_0839,2021-03-08
PER_0059,PH_0544,2022-08-03
PER_0060,PH_0077,2021-10-21
PER_0061,PH_0278,2023-02-01
PER_0062,PH_0017,2022-02-15
PER_0063,PH_0997,2022-10-14
PER_0064,PH_0865,2021-07-28
PER_0065,PH_0540,2023-09-12
PER_0066,PH_1386,2022-12-06
PER_0066,PH_0555,2021-06-30
PER_0067,PH_1213,2022-05-08
PER_0068,PH_0045,2023-06-13
PER_0069,PH_1178,2022-10-12
PER_0069,PH_0092,2023-02-09
PER_0070,PH_0533,2023-08-01
PER_0070,PH_1351,2023-09-01
PER_0071,PH_1167,2021-09-27
