person_id,vehicle_id,ownership_type
PER_0268,VEH_0283,Spotted In
PER_0280,VEH_0011,Owner
PER_0427,VEH_0618,Owner
PER_0902,VEH_0204,Driver
PER_0017,VEH_0559,Owner
PER_0354,VEH_0775,Spotted In
PER_0251,VEH_0306,Owner
PER_0600,VEH_0699,Spotted In
PER_0158,VEH_0655,Owner
PER_0914,VEH_0005,Driver
PER_0403,VEH_0371,Driver
PER_0042,VEH_0246,Driver
PER_0630,VEH_0087,Driver
PER_0912,VEH_0319,Driver
PER_0448,VEH_0260,Driver
PER_0497,VEH_0588,Owner
PER_0877,VEH_0791,Spotted In
PER_0274,VEH_0723,Driver
PER_0954,VEH_0126,Owner
PER_0766,VEH_0167,Spotted In
PER_0845,VEH_0084,Driver
PER_0413,VEH_0049,Owner
PER_0649,VEH_0155,Spotted In
PER_0718,VEH_0251,Owner
PER_0142,VEH_0089,Spotted In
PER_0508,VEH_0339,Driver
PER_0140,VEH_0526,Spotted In
PER_0050,VEH_0597,Spotted In
PER_0645,VEH_0494,Spotted In
PER_0341,VEH_0593,Owner
PER_0768,VEH_0226,Driver
PER_0212,VEH_0777,Spotted In
PER_0405,VEH_0465,Owner
PER_0948,VEH_0505,Driver
PER_0714,VEH_0084,Driver
PER_0874,VEH_0717,Owner
PER_0813,VEH_0197,Owner
PER_0307,VEH_0354,Driver
PER_0640,VEH_0513,Driver
PER_0588,VEH_0059,Spotted In
PER_0065,VEH_0311,Owner
PER_0110,VEH_0133,Driver
PER_0614,VEH_0716,Driver
PER_0708,VEH_0005,Driver
PER_0157,VEH_0096,Driver
PER_0728,VEH_0260,Spotted In
PER_0544,VEH_0238,Spotted In
PER_0841,VEH_0647,Spotted In
PER_0358,VEH_0605,Driver
PER_0419,VEH_0214,Owner
PER_0456,VEH_0459,Driver
PER_0757,VEH_0573,Driver
PER_0642,VEH_0119,Spotted In
PER_0700,VEH_0465,Driver
PER_0992,VEH_0469,Driver
PER_0823,VEH_0684,Driver
PER_0514,VEH_0063,Owner
PER_0374,VEH_0398,Driver
PER_0756,VEH_0230,Driver
PER_0044,VEH_0333,Spotted In
PER_0175,VEH_0732,Spotted In
PER_0088,VEH_0734,Driver
PER_0901,VEH_0693,Spotted In
PER_0903,VEH_0685,Owner
PER_0366,VEH_0082,Spotted In
PER_0329,VEH_0781,Driver
PER_0740,VEH_0779,Owner
PER_0908,VEH_0046,Owner
PER_0871,VEH_0232,Owner
PER_0804,VEH_0271,Spotted In
PER_0665,VEH_0431,Spotted In
PER_0859,VEH_0740,Spotted In
PER_0673,VEH_0463,Driver
PER_0223,VEH_0774,Driver
PER_0571,VEH_0271,Driver
PER_0252,VEH_0120,Owner
PER_0882,VEH_0310,Spotted In
PER_0021,VEH_0288,Spotted In
PER_0690,VEH_0045,Spotted In
PER_0510,VEH_0311,Spotted In
PER_0465,VEH_0450,Spotted In
PER_0349,VEH_0223,Owner
PER_0896,VEH_0555,Owner
PER_0328,VEH_0353,Driver
PER_0563,VEH_0021,Driver
PER_0143,VEH_0297,Owner
PER_0092,VEH_0496,Owner
PER_0163,VEH_0466,Spotted In
PER_0396,VEH_0799,Spotted In
PER_0187,VEH_0369,Spotted In
PER_0998,VEH_0736,Driver
PER_0267,VEH_0489,Driver
PER_0927,VEH_0121,Owner
PER_0622,VEH_0111,Owner
PER_0380,VEH_0496,Spotted In
PER_0408,VEH_0485,Driver
PER_0490,VEH_0315,Driver
PER_0657,VEH_0371,Driver
PER_0525,VEH_0690,Spotted In
PER_0983,VEH_0360,Driver
PER_0296,VEH_0350,Driver
PER_0767,VEH_0154,Spotted In
PER_0968,VEH_0579,Driver
PER_0003,VEH_0156,Owner
PER_0457,VEH_0397,Spotted In
PER_0575,VEH_0591,Owner
PER_0625,VEH_0304,Spotted In
PER_0796,VEH_0346,Driver
PER_0853,VEH_0697,Owner
PER_0023,VEH_0777,Owner
PER_0852,VEH_0594,Owner
PER_0493,VEH_0624,Spotted In
PER_0851,VEH_0265,Spotted In
PER_0352,VEH_0390,Spotted In
PER_0085,VEH_0358,Spotted In
PER_0683,VEH_0427,Owner
PER_0801,VEH_0445,Driver
PER_0577,VEH_0741,Spotted In
PER_0966,VEH_0747,Spotted In
PER_0584,VEH_0187,Spotted In
PER_0103,VEH_0736,Driver
PER_0907,VEH_0070,Owner
PER_0517,VEH_0532,Owner
PER_0067,VEH_0420,Spotted In
PER_0468,VEH_0488,Owner
PER_0495,VEH_0640,Driver
PER_0384,VEH_0452,Driver
PER_0906,VEH_0450,Spotted In
PER_0071,VEH_0384,Driver
PER_0956,VEH_0042,Spotted In
PER_0587,VEH_0211,Spotted In
PER_0694,VEH_0579,Driver
PER_0705,VEH_0148,Driver
PER_0284,VEH_0229,Driver
PER_0963,VEH_0480,Spotted In
PER_0099,VEH_0189,Spotted In
PER_0964,VEH_0778,Driver
PER_0315,VEH_0072,Spotted In
PER_0619,VEH_0088,Owner
PER_0800,VEH_0449,Owner
PER_0170,VEH_0367,Owner
PER_0348,VEH_0134,Spotted In
PER_0211,VEH_0612,Driver
PER_0689,VEH_0177,Owner
