vehicle_id,registration_number,vehicle_type,color
VEH_0001,DL03IW9523,Van,Grey
VEH_0002,DL10SK8422,SUV,Grey
VEH_0003,DL09VS4532,Motorcycle,Dark Blue
VEH_0004,DL03TZ8292,Truck,Silver
VEH_0005,DL05TG1328,SUV,Dark Blue
VEH_0006,DL05MY9772,Motorcycle,Black
VEH_0007,DL10DZ3077,Sedan,White
VEH_0008,DL12WR2854,Van,Dark Blue
VEH_0009,DL07US3215,Sedan,Grey
VEH_0010,DL03RH3071,SUV,Black
VEH_0011,DL09TR2215,SUV,Grey
VEH_0012,DL09CK9602,Van,Black
VEH_0013,DL05IK9993,SUV,White
VEH_0014,DL01NP4363,SUV,White
VEH_0015,DL12UC9486,SUV,Grey
VEH_0016,DL08CN9957,Sedan,Silver
VEH_0017,DL08FV5527,Truck,Black
VEH_0018,DL01YA1447,Sedan,Black
VEH_0019,DL02KF2328,Sedan,White
VEH_0020,DL08ZD8192,Van,Silver
VEH_0021,DL01ZU1423,SUV,Silver
VEH_0022,DL06MV2886,Van,Silver
VEH_0023,DL05IF2393,Van,White
VEH_0024,DL10VS9847,Motorcycle,Silver
VEH_0025,DL08QY2255,SUV,White
VEH_0026,DL05QT1695,Truck,Dark Blue
VEH_0027,DL08BQ8121,Motorcycle,Black
VEH_0028,DL01TB1045,Truck,White
VEH_0029,DL07LU6594,Sedan,Silver
VEH_0030,DL12QI9684,SUV,Dark Blue
VEH_0031,DL07SD4863,Motorcycle,White
VEH_0032,DL05QH6269,Truck,Black
VEH_0033,DL06JF7149,Sedan,Grey
VEH_0034,DL12BU8696,Sedan,Dark Blue
VEH_0035,DL04HN8537,Van,Silver
VEH_0036,DL01YT9615,SUV,White
VEH_0037,DL02BI1769,Sedan,Dark Blue
VEH_0038,DL05QD9671,Sedan,Silver
VEH_0039,DL11XI3907,Van,Dark Blue
VEH_0040,DL08HQ4176,Motorcycle,White
VEH_0041,DL09UC7548,Truck,White
VEH_0042,DL03VC3318,Motorcycle,Grey
VEH_0043,DL11JX3799,Van,Grey
VEH_0044,DL11VV6038,Motorcycle,Silver
VEH_0045,DL03AH7877,SUV,Silver
