source_id,target_id,edge_type,timestamp,weight
PH_0212,PH_0271,CALLED,2023-06-19T05:28:24Z,2678
PER_0250,PH_1026,OWNS,,
PH_1280,PH_0056,CALLED,2026-02-27T02:21:46Z,2331
ACC_0450,ACC_0322,TRANSACTED_WITH,2023-11-12T14:56:09Z,1447387.64
PH_0412,PH_0847,CALLED,2024-04-07T07:00:12Z,689
PER_0819,ACC_1104,OWNS,,
PH_0798,PH_0302,CALLED,2024-04-28T13:25:31Z,589
ACC_0125,ACC_0282,TRANSACTED_WITH,2023-06-03T21:24:57Z,412227.93
PER_0159,ACC_0828,OWNS,,
PER_0292,PH_1144,OWNS,,
PER_0213,LOC_0083,ASSOCIATED_WITH,,
ACC_0865,ACC_1038,TRANSACTED_WITH,2024-02-10T04:22:05Z,255115.1
ACC_0122,ACC_0056,TRANSACTED_WITH,2024-06-13T21:05:55Z,20561.29
ACC_1068,ACC_0997,TRANSACTED_WITH,2023-01-08T00:57:40Z,1526394.46
ACC_0050,ACC_0515,TRANSACTED_WITH,2023-09-27T04:31:27Z,2323653.09
PH_0991,PH_0357,CALLED,2025-06-07T02:56:46Z,1885
CASE_0141,PER_0983,PARTICIPATED_IN,,
PH_0351,PH_1332,CALLED,2024-05-01T08:55:41Z,3507
CASE_0121,PER_0735,PARTICIPATED_IN,,
ACC_0072,ACC_0841,TRANSACTED_WITH,2023-10-19T15:07:52Z,353096.62
PER_0327,PH_0032,OWNS,,
PER_0750,ACC_0858,OWNS,,
PH_0567,PH_0605,CALLED,2023-11-07T12:51:44Z,3422
PER_0185,ACC_0792,OWNS,,
PER_0384,VEH_0452,OWNS,,
ACC_0162,ACC_0706,TRANSACTED_WITH,2026-03-29T01:25:49Z,2145776.58
ACC_0559,ACC_0322,TRANSACTED_WITH,2026-07-08T11:16:19Z,1340922.69
ACC_0675,ACC_0508,TRANSACTED_WITH,2026-01-02T23:31:48Z,2473242.6
PER_0127,ACC_0293,OWNS,,
PER_0746,ACC_0743,OWNS,,
PER_0763,PH_0489,OWNS,,
CASE_0137,PER_0563,PARTICIPATED_IN,,
PER_0951,VEH_0495,OWNS,,
ACC_0391,ACC_0749,TRANSACTED_WITH,2023-10-27T15:21:14Z,1284739.15
ACC_0965,ACC_1035,TRANSACTED_WITH,2023-11-15T20:10:55Z,2057054.75
PH_0316,PH_0837,CALLED,2025-10-26T09:59:01Z,2590
CASE_0230,PER_0389,PARTICIPATED_IN,,
PER_0815,VEH_0552,OWNS,,
ACC_0764,ACC_0238,TRANSACTED_WITH,2024-04-20T01:07:58Z,407142.96
PH_1376,PH_0463,CALLED,2025-07-14T19:18:45Z,3069
PH_0605,PH_0452,CALLED,2024-04-08T12:05:51Z,3562
PER_0708,LOC_0125,ASSOCIATED_WITH,,
ACC_0269,ACC_0106,TRANSACTED_WITH,2023-09-11T21:51:34Z,518813.55
PER_0239,ACC_0343,OWNS,,
PER_0597,VEH_0249,OWNS,,
PER_0325,VEH_0726,OWNS,,
ACC_0152,ACC_1088,TRANSACTED_WITH,2024-07-06T02:19:38Z,237738.3
PER_0805,LOC_0076,ASSOCIATED_WITH,,
PER_0797,LOC_0131,ASSOCIATED_WITH,,
PER_0201,PH_0885,OWNS,,
ACC_0973,ACC_0237,TRANSACTED_WITH,2024-06-04T05:51:31Z,1014543.69
PER_0105,VEH_0458,OWNS,,
ACC_0524,ACC_0357,TRANSACTED_WITH,2023-08-02T11:45:17Z,472636.96
PH_1265,PH_1384,CALLED,2024-07-12T06:26:27Z,281
PER_0399,ACC_1061,OWNS,,
PER_0021,PH_1199,OWNS,,
PER_0843,LOC_0008,ASSOCIATED_WITH,,
PER_0552,VEH_0314,OWNS,,
PH_0195,PH_0271,CALLED,2023-11-15T08:35:05Z,916
ACC_0206,ACC_1015,TRANSACTED_WITH,2025-03-07T02:20:38Z,1199530.55
PER_0923,ACC_0192,OWNS,,
ACC_0061,ACC_0785,TRANSACTED_WITH,2025-04-12T16:13:33Z,380487.44
PER_0597,LOC_0038,ASSOCIATED_WITH,,
PER_0443,LOC_0020,ASSOCIATED_WITH,,
PER_0403,ACC_1044,OWNS,,
PH_0097,PH_0614,CALLED,2025-12-05T18:25:28Z,1632
ACC_1140,ACC_0533,TRANSACTED_WITH,2025-07-09T04:11:28Z,986506.01
ACC_0546,ACC_0998,TRANSACTED_WITH,2024-09-15T14:46:09Z,1084318.76
PH_0789,PH_0256,CALLED,2025-02-26T06:20:34Z,999
ACC_0665,ACC_0848,TRANSACTED_WITH,2026-01-05T17:58:29Z,44502.64
ACC_1150,ACC_0749,TRANSACTED_WITH,2023-09-06T16:08:28Z,1466352.22
PH_1287,PH_0447,CALLED,2023-02-05T12:57:58Z,2014
PER_0553,ORG_0115,ASSOCIATED_WITH,,
PER_0920,PH_0781,OWNS,,
ACC_0759,ACC_0361,TRANSACTED_WITH,2023-04-29T16:38:43Z,1851405.39
PH_0197,PH_0074,CALLED,2023-07-09T08:33:45Z,3413
PH_1101,PH_0701,CALLED,2023-09-01T23:59:15Z,3474
PH_0810,PH_1176,CALLED,2025-03-04T10:30:33Z,882
ACC_0410,ACC_0416,TRANSACTED_WITH,2026-06-01T09:00:50Z,1223621.37
PER_0747,ORG_0108,ASSOCIATED_WITH,,
PH_0476,PH_0532,CALLED,2025-12-08T21:56:31Z,2654
PER_0259,VEH_0519,OWNS,,
ACC_0334,ACC_0387,TRANSACTED_WITH,2023-07-31T04:05:14Z,395404.31
PER_0868,ACC_0843,OWNS,,
PER_0143,VEH_0297,OWNS,,
PH_0201,PH_0064,CALLED,2024-09-13T05:57:54Z,2595
PER_0984,VEH_0674,OWNS,,
ACC_1061,ACC_0718,TRANSACTED_WITH,2026-06-27T23:54:17Z,573331.0
PH_1278,PH_0496,CALLED,2024-05-30T19:06:29Z,1795
PER_0393,PH_0234,OWNS,,
PER_0962,PH_0131,OWNS,,
PER_0770,ACC_0115,OWNS,,
CASE_0098,PER_0882,PARTICIPATED_IN,,
ACC_0888,ACC_0163,TRANSACTED_WITH,2026-05-11T16:36:23Z,2015132.27
PER_0261,LOC_0113,ASSOCIATED_WITH,,
PER_0374,VEH_0398,OWNS,,
PER_0622,PH_0530,OWNS,,
ACC_0551,ACC_0476,TRANSACTED_WITH,2023-01-27T04:35:50Z,1271396.01
ACC_1158,ACC_0808,TRANSACTED_WITH,2023-06-10T03:55:18Z,301885.89
PER_0611,ORG_0077,ASSOCIATED_WITH,,
PER_0126,VEH_0651,OWNS,,
ACC_0839,ACC_0001,TRANSACTED_WITH,2026-03-05T04:15:33Z,810654.81
PH_0276,PH_0648,CALLED,2024-11-19T22:14:58Z,1733
PER_0095,ACC_0562,OWNS,,
PER_0810,LOC_0021,ASSOCIATED_WITH,,
PER_0546,VEH_0037,OWNS,,
PH_0886,PH_0479,CALLED,2025-10-10T19:00:34Z,1828
ACC_0194,ACC_0862,TRANSACTED_WITH,2024-11-20T11:15:11Z,798016.12
PER_0604,PH_0824,OWNS,,
PER_0739,LOC_0111,ASSOCIATED_WITH,,
PER_0885,PH_0414,OWNS,,
PH_0112,PH_0257,CALLED,2023-05-31T15:32:44Z,1290
CASE_0164,PER_0957,PARTICIPATED_IN,,
PER_0211,LOC_0131,ASSOCIATED_WITH,,
PH_1125,PH_0513,CALLED,2024-09-28T13:01:34Z,146
ACC_0717,ACC_0792,TRANSACTED_WITH,2024-06-06T02:54:11Z,921963.33
ACC_0557,ACC_0115,TRANSACTED_WITH,2023-09-26T10:48:48Z,203666.36
ACC_0026,ACC_0453,TRANSACTED_WITH,2024-06-28T19:38:16Z,1581847.33
PH_0670,PH_0031,CALLED,2025-02-25T05:23:55Z,3017
PH_0426,PH_1350,CALLED,2025-06-19T10:31:31Z,764
PER_0825,ACC_0039,OWNS,,
ACC_0614,ACC_0146,TRANSACTED_WITH,2023-04-25T23:11:26Z,445692.66
PER_0513,PH_1326,OWNS,,
CASE_0084,PER_0228,PARTICIPATED_IN,,
PH_0399,PH_1233,CALLED,2023-01-07T23:34:33Z,3417
ACC_1023,ACC_0160,TRANSACTED_WITH,2024-03-18T11:08:50Z,338434.51
ACC_0667,ACC_1108,TRANSACTED_WITH,2025-06-21T18:19:14Z,1472599.57
PER_0538,PH_0951,OWNS,,
ACC_0654,ACC_0911,TRANSACTED_WITH,2025-03-24T01:11:13Z,2337494.21
ACC_0508,ACC_0248,TRANSACTED_WITH,2025-02-22T12:20:47Z,77681.06
ACC_1131,ACC_1160,TRANSACTED_WITH,2023-04-22T00:17:00Z,325845.76
PH_1143,PH_0084,CALLED,2025-09-23T11:27:54Z,879
ACC_0406,ACC_0161,TRANSACTED_WITH,2024-12-13T08:04:25Z,2489914.32
PH_0143,PH_0212,CALLED,2023-12-25T03:49:05Z,3444
PH_0658,PH_1307,CALLED,2024-05-27T19:22:45Z,1368
PER_0494,LOC_0005,ASSOCIATED_WITH,,
PH_1075,PH_0152,CALLED,2024-12-23T21:44:56Z,3023
PER_0961,LOC_0016,ASSOCIATED_WITH,,
ACC_0519,ACC_0975,TRANSACTED_WITH,2025-12-03T02:28:34Z,397521.51
PER_0531,ACC_0953,OWNS,,
ACC_1037,ACC_0319,TRANSACTED_WITH,2024-09-17T21:29:44Z,1528176.37
PER_0391,PH_0118,OWNS,,
PH_0302,PH_0546,CALLED,2024-03-24T07:21:01Z,1028
PER_0767,PH_0323,OWNS,,
PH_0670,PH_0732,CALLED,2023-06-27T18:01:33Z,642
PER_0892,LOC_0114,ASSOCIATED_WITH,,
PER_0986,ACC_0637,OWNS,,
CASE_0043,PER_0669,PARTICIPATED_IN,,
ACC_0873,ACC_0888,TRANSACTED_WITH,2023-04-21T18:55:28Z,2273936.44
PER_0938,PH_1056,OWNS,,
ACC_0100,ACC_0084,TRANSACTED_WITH,2025-04-17T23:54:18Z,175848.22
PER_0584,VEH_0187,OWNS,,
PER_0495,ORG_0017,ASSOCIATED_WITH,,
PH_0835,PH_0512,CALLED,2024-05-14T19:01:26Z,1787
PER_0830,VEH_0036,OWNS,,
CASE_0080,PER_0366,PARTICIPATED_IN,,
PER_0255,LOC_0139,ASSOCIATED_WITH,,
PER_0288,ORG_0021,ASSOCIATED_WITH,,
PER_0851,ACC_0426,OWNS,,
PER_0844,PH_0711,OWNS,,
PER_0877,VEH_0791,OWNS,,
PER_0493,ACC_0782,OWNS,,
PER_0856,LOC_0119,ASSOCIATED_WITH,,
PH_0257,PH_0204,CALLED,2025-03-15T12:36:59Z,174
PER_0036,ORG_0116,ASSOCIATED_WITH,,
PER_0226,LOC_0108,ASSOCIATED_WITH,,
ACC_0436,ACC_1152,TRANSACTED_WITH,2023-12-11T07:51:50Z,1296790.71
CASE_0016,PER_0035,PARTICIPATED_IN,,
ACC_1140,ACC_0300,TRANSACTED_WITH,2025-07-21T08:31:24Z,2000887.07
PER_0531,LOC_0141,ASSOCIATED_WITH,,
PER_0144,ACC_0155,OWNS,,
CASE_0249,PER_0849,PARTICIPATED_IN,,
PH_1313,PH_0974,CALLED,2026-05-31T13:18:27Z,741
CASE_0184,PER_0914,PARTICIPATED_IN,,
