node_id,node_type,degree,call_count,transaction_count
ACC_0001,account,8,0,8
ACC_0002,account,3,0,3
ACC_0003,account,8,0,6
ACC_0004,account,7,0,5
ACC_0005,account,4,0,4
ACC_0006,account,8,0,6
ACC_0007,account,9,0,8
ACC_0008,account,6,0,5
ACC_0009,account,7,0,3
ACC_0010,account,9,0,7
ACC_0011,account,8,0,7
ACC_0012,account,5,0,5
ACC_0013,account,7,0,6
ACC_0014,account,10,0,9
ACC_0015,account,7,0,6
ACC_0016,account,11,0,7
ACC_0017,account,9,0,6
ACC_0018,account,5,0,5
ACC_0019,account,7,0,7
ACC_0020,account,14,0,13
ACC_0021,account,7,0,7
ACC_0022,account,9,0,7
ACC_0023,account,6,0,6
ACC_0024,account,11,0,10
ACC_0025,account,13,0,12
ACC_0026,account,9,0,8
ACC_0027,account,13,0,10
ACC_0028,account,8,0,6
ACC_0029,account,7,0,7
ACC_0030,account,7,0,7
ACC_0031,account,5,0,4
ACC_0032,account,5,0,5
ACC_0033,account,6,0,5
ACC_0034,account,12,0,9
ACC_0035,account,7,0,5
ACC_0036,account,9,0,5
ACC_0037,account,7,0,7
ACC_0038,account,12,0,12
ACC_0039,account,9,0,7
ACC_0040,account,4,0,3
ACC_0041,account,8,0,6
ACC_0042,account,11,0,11
ACC_0043,account,4,0,2
ACC_0044,account,12,0,12
ACC_0045,account,11,0,7
ACC_0046,account,11,0,11
ACC_0047,account,7,0,4
ACC_0048,account,16,0,13
ACC_0049,account,7,0,7
ACC_0050,account,8,0,5
ACC_0051,account,10,0,8
ACC_0052,account,5,0,5
ACC_0053,account,8,0,6
ACC_0054,account,8,0,8
ACC_0055,account,2,0,2
ACC_0056,account,10,0,6
ACC_0057,account,8,0,7
ACC_0058,account,9,0,8
ACC_0059,account,9,0,7
ACC_0060,account,15,0,12
ACC_0061,account,12,0,10
ACC_0062,account,7,0,7
ACC_0063,account,9,0,7
ACC_0064,account,7,0,6
ACC_0065,account,6,0,4
ACC_0066,account,11,0,8
ACC_0067,account,10,0,8
ACC_0068,account,6,0,5
ACC_0069,account,8,0,8
ACC_0070,account,6,0,6
ACC_0071,account,10,0,10
ACC_0072,account,10,0,10
ACC_0073,account,10,0,9
ACC_0074,account,8,0,7
ACC_0075,account,6,0,5
ACC_0076,account,6,0,4
ACC_0077,account,8,0,7
ACC_0078,account,7,0,5
ACC_0079,account,8,0,7
